1	0	5818	557
2	29478	13334	305
3	91929	40296	2795
4	302110	23672	734
5	403728	3750	598
6	424106	616	325
7	427947	590	279
8	431475	2386	720
9	445264	4726	1153
10	471853	2581	587
11	486564	3721	1186
12	507833	1597	337
13	516742	167	101
14	517901	888	337
15	523221	1166	442
16	530251	500	117
17	533073	1691	294
18	541278	1404	584
19	549560	1351	207
20	556797	2121	241
21	567816	309	203
22	569846	1750	876
23	579795	2733	531
24	594478	543	215
25	597669	64	44
26	598117	2997	1103
27	616020	624	98
28	619375	455	145
29	622008	654	330
30	626180	502	210
31	629187	2542	903
32	643888	376	192
33	646215	140	66
34	647111	3058	747
35	663488	238	171
36	665097	2422	553
37	678741	618	355
38	682651	523	215
39	685916	527	277
40	689195	479	86
41	691780	14	11
42	691888	715	293
43	696247	418	185
44	698792	1229	466
45	706163	241	115
46	707658	1825	779
47	718719	385	161
48	721042	216	114
49	722403	112	74
50	723156	142	89
51	724090	4379	1114
52	748556	136	87
53	749485	560	295
54	753139	1049	278
55	759087	41	37
56	759405	1156	512
57	766423	504	178
58	769327	885	451
59	774926	13651	694
60	833842	2048	944
61	846201	2788	589
62	861299	4533	1326
63	886411	247	118
64	887951	451	147
65	890701	2014	456
66	902572	1765	341
67	912098	1191	339
68	918831	632	194
69	922568	68	46
70	923056	564	275
71	926560	99	51
72	927191	3501	643
73	947189	4038	1414
74	970444	732	341
75	975040	58	41
76	975425	591	226
77	978925	194	96
78	980121	3227	857
79	998523	530	240
80	1001770	7210	1551
81	1039527	1314	551
82	1047348	763	236
83	1051770	323	223
84	1053927	130	101
85	1054792	1703	609
86	1064725	29	23
87	1064936	1671	415
88	1074204	683	377
89	1078628	33	12
90	1078830	1455	635
91	1087833	1626	621
92	1097254	70	54
93	1097752	3496	1264
94	1118008	351	230
95	1120305	44	32
96	1120624	834	375
97	1125503	1088	372
98	1132128	259	144
99	1133810	228	115
100	1135264	3296	1046
101	1154721	2518	617
102	1168532	1690	521
103	1178400	76	48
104	1178930	137	72
105	1179773	729	311
106	1184242	362	166
107	1186448	509	219
108	1189528	5666	1644
109	1222931	1466	577
110	1231748	407	268
111	1234362	519	293
112	1237705	2557	347
113	1249396	9	9
114	1249472	1364	507
115	1257671	544	246
116	1261147	599	303
117	1264976	978	424
118	1271054	427	241
119	1273840	77	42
120	1274352	706	315
121	1278646	2533	643
122	1292535	1243	464
123	1300203	1372	203
124	1306925	88	63
125	1307547	183	97
126	1308758	1688	731
127	1319000	4292	1177
128	1343109	575	263
129	1346719	902	226
130	1351756	221	94
131	1353095	1299	189
132	1359171	25	18
133	1359364	1769	215
134	1367725	1926	713
135	1378643	695	364
136	1382961	1517	640
137	1391565	2141	1449
138	1404547	3244	1339
139	1423316	5446	1828
140	1453669	3664	2156
141	1474881	420	308
142	1477591	1686	687
143	1487640	1904	680
144	1499024	972	392
145	1505081	1500	490
146	1513940	1697	520
147	1522743	324	191
148	1524839	1322	530
149	1532678	3566	1196
150	1551943	1688	732
151	1561992	1154	554
152	1568915	892	434
153	1574265	8	8
154	1574337	112	45
155	1575025	3	1
156	1575044	601	391
157	1578377	4227	1123
158	1602749	2956	874
159	1619887	3027	873
160	1635444	236	174
161	1637062	2644	756
162	1652148	720	284
163	1656773	1525	631
164	1665471	1889	824
165	1676725	1135	555
166	1683407	604	343
167	1687127	2047	686
168	1699054	267	124
169	1700697	270	192
170	1702547	6617	1132
171	1737625	7628	1277
172	1777925	43	37
173	1778228	4174	1673
174	1800412	1183	521
175	1807314	2542	827
176	1822198	513	213
177	1825095	25	15
178	1825277	1263	484
179	1832860	11234	1843
180	1893990	695	355
181	1898403	1891	748
182	1909869	103	45
183	1910543	2101	440
184	1921670	1682	365
185	1930669	372	229
186	1932982	1699	795
187	1942932	7455	1235
188	1982466	315	213
189	1984472	87	61
190	1985046	1812	752
191	1995360	1791	868
192	2006080	57	32
193	2006467	15388	1854
194	2082893	4700	1903
195	2110907	2460	1453
196	2125879	8933	1539
197	2173033	2155	330
198	2184607	3788	1354
199	2206253	1261	466
200	2213156	13035	953
201	2280327	3776	909
202	2300505	2304	482
203	2311765	7	1
204	2311805	736	433
205	2316518	2314	806
206	2330240	525	251
207	2333276	211	125
208	2334637	496	248
209	2337592	1045	369
210	2343540	6570	2424
211	2379762	1216	705
212	2386636	1285	567
213	2394011	5716	947
214	2425056	1437	632
215	2433883	516	251
216	2437304	747	466
217	2441965	3032	1034
218	2459689	1016	229
219	2465250	2394	838
220	2479301	1729	363
221	2488292	677	185
222	2492098	4190	1256
223	2516507	1248	416
224	2523643	4440	455
225	2547068	264	185
226	2548831	24074	2082
227	2668778	2529	831
228	2683470	2302	448
229	2696823	4074	1250
230	2721160	1946	796
231	2733227	9912	1927
232	2788447	2188	584
233	2801237	3	2
234	2801262	43	37
235	2801585	15238	1917
236	2882363	2516	520
237	2896927	910	330
